# feature-tiers.tsv — THE FEATURE SURFACE LEDGER that scripts/check-feature-tiers.py enforces.
#
# Every `(crate, feature)` pair in this repository gets a TIER here, or the gate goes RED. That
# TOTALITY is the point: a `#[cfg(feature = ...)]` is a SUBTRACTION THAT EMITS NO LINE, so a
# feature nothing compiles produces no signal at all — the build is green BECAUSE the code is
# absent, which is strictly worse than `#[ignore]` (that at least keeps the file compiling).
#
# MEASURED 2026-07-26: 243 pairs / 145 distinct feature names, declared by 73 of 270 first-party
# packages across 8 cargo workspaces. A push-triggered job compiled 152 of them. NOTHING anywhere
# passes `--all-features`, so the other 91 — 37% of the surface — were fed to rustc by no CI job
# at all and said nothing about it. Two things that LOOK like coverage are not: `pages.yml`
# (`gpui-web`, `web`) is workflow_dispatch ONLY, and `publish-sdk-py.yml` names `kernel` in a
# comment while no step passes it.
#
# THE TIERS
#   T1  green every push. Either activated by the default resolve of a workspace a push-triggered
#       job builds (`default@<workspace>`), or explicitly enabled by a `--features` flag listed
#       WITH ITS PROVENANCE in PUSH_TRIGGERED_EXPLICIT in the checker — never inferred from YAML,
#       because a derivation from the file the accident edits always agrees nothing was expected.
#   T2  heavy but load-bearing — nightly, its own job. These stay OFF by default on purpose
#       (`prove` pulls the plonky3 recursion prover; forcing it into the dev loop would be
#       strictly worse). Armed in .github/workflows/armed-teeth.yml.
#   T3  must at least COMPILE — one `cargo check -p <crate> --features <feature> --all-targets`
#       per pair, run by scripts/feature-t3-sweep.sh from .github/workflows/feature-surface.yml.
#       This catches `#![cfg]` ROT, the majority class: a feature-gated FILE that no longer
#       compiles is invisible until someone turns the feature on, and nobody ever does.
#       `--all-targets` is load-bearing — the gated files here overwhelmingly live in `tests/`.
#       A `why` opening `nodefault:` makes the sweep pass `--no-default-features` (starbridge-v2's
#       `sel4-thin` is mutually exclusive with the default set at the linker level).
#   T4  explicitly EXEMPT, WITH A REASON opening with one of
#       credentials / network / gpu / target / toolchain. COST IS DELIBERATELY NOT A CLASS — an
#       expensive feature is T2, not exempt. armed-teeth.yml's "WHAT IS NOT HERE" section is the
#       discipline being imitated: named, not hidden.
#
# T3 IS COMPILE-ONLY AND SAYS SO. Green means rustc accepted the code. It does not mean the
# feature works, and it NEVER means its tests ran.
#
# COLUMNS (tab-separated; blank lines and '#' comments ignored)
#   crate    cargo package name
#   feature  the feature name as `--features` takes it
#   tier     T1 | T2 | T3 | T4
#   why      T1: `default@<workspace>` or the CI flag. T2: the job that arms it.
#            T3: what turning it on compiles. T4: `<class>: <reason>` — never empty.
#
# REGENERATE:  python3 scripts/check-feature-tiers.py --regen
#   Existing tiers and reasons are PRESERVED; new pairs land as T3 `REVIEW-ME` and stale rows are
#   dropped. The `#!` counts below are rewritten to match, so a regen always shows in a diff.
#
# crate	feature	tier	why
#!EXPECT_PAIRS=226
#!EXPECT_T1=136
#!EXPECT_T2=3
#!EXPECT_T3=78
#!EXPECT_T4=9
agent-platform	live-brain	T3	drive_live wires dregg-agent's real OpenAI-compatible HTTP transport as a rented grain's brain (BYO key from env). Compile-only here; the live call needs credentials
attested-dm	tlsn-live	T3	optional dep on dregg-zkoracle-live: attests the narration over a GENUINE local MPC-TLS 2PC roundtrip instead of the modeled ed25519 carrier
commons-arbiter	tlsn-live	T3	optional dep on dregg-zkoracle-live: attests the ruling over a genuine local MPC-TLS 2PC roundtrip instead of the modeled ed25519 carrier
deos-hermes	cockpit-surface	T1	starbridge-v2-installers.yml:200,386 cargo build --release --features desktop -> dev-surfaces -> deos-hermes/cockpit-surface: the confined agent pane's gpui surface
deos-hermes	default	T1	default@.
deos-hermes	js-agent	T3	THE HANDS — the confined agent's run_js tool; pulls deos-js (real SpiderMonkey)
deos-hermes	live-brain	T3	brain::live_brain_from_env() and the transport it resolves from the BYO-key env chain
deos-hermes	node-brain	T3	THE DISTRIBUTED HANDS — a confined brain drives a remote node's World over NodeWorldSink
deos-hermes	screenshot	T3	offscreen RGBA capture of the dock surface in a headless gpui app (offscreen wgpu + no-system-fonts text). Compile-only: painting a frame needs an adapter, checking it does not
deos-hermes	zk-live	T3	optional dep on dregg-zkoracle-live — the heavy mpz/tokio/rustls 2PC backend behind the crown
deos-matrix	cockpit-surface	T1	starbridge-v2-installers.yml:200,386 cargo build --release --features desktop -> dev-surfaces -> deos-matrix/cockpit-surface: the chat pane's gpui surface
deos-matrix	default	T1	default@.
deos-matrix	gui	T1	starbridge-v2-installers.yml:200,386 cargo build --release --features desktop -> dev-surfaces -> deos-matrix/cockpit-surface -> gui
deos-matrix	live-matrix	T3	matrix-sdk's on-disk sqlite store (client.rs's sqlite_store path)
deos-terminal	cockpit-surface	T1	starbridge-v2-installers.yml:200,386 cargo build --release --features desktop -> dev-surfaces -> deos-terminal/cockpit-surface: the terminal pane's gpui surface
deos-terminal	default	T1	default@.
deos-terminal	native-ui	T1	default@.
deos-terminal	pty-ws-server	T1	default@.
deos-view	cap	T1	default@.
deos-view	default	T1	default@.
deos-view	discord	T3	the FOURTH ViewNode backend — serenity CreateEmbed + button components over the one IR
deos-view	integration	T1	default@.
deos-view	native	T1	default@.
deos-view	telegram	T1	default@.
deos-view	web	T1	default@.
deos-view	wechat	T1	default@.
deos-zed	cockpit-surface	T1	default@.
deos-zed	default	T1	default@.
deos-zed	firmament	T1	ci.yml:509 cargo test -p deos-zed --no-default-features --features firmament
deos-zed	gui	T1	default@.
deos-zed	gui-demo	T1	default@.
deos-zed	highlight-all	T3	the full 33-language tree-sitter grammar set
deos-zed	highlight-common	T1	default@.
deos-zed	screenshot	T1	default@.
deos-zed-full	default	T3	the FirmamentZedFs adapter alone (the `fs` seam); the empty default keeps a bare build light
